#OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Endophoma",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,__,__",0,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudogymnoascus",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Glarea",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusicolla",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Neonectria",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Murilentithecium",1,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Physalacriaceae,g__Armillaria",0,0,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__unidentified,g__unidentified",0,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Crocicreas",0,1,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Trichothecium",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Luellia",0,0,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__GS37,o__GS37,f__unidentified,g__unidentified",1,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Podonectria",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Biscogniauxia",0,1,1,1
"k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__unidentified,g__unidentified",1,1,0,1
"k__Fungi,p__Basidiomycota,c__GS27,o__GS27,f__unidentified,g__unidentified",1,0,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Cyathicula",0,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Phacidiales,f__Phacidiaceae,g__Allantophomopsis",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Astraeaceae,g__Astraeus",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__unidentified,g__unidentified",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Herpotrichia",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Cylindrocarpon",0,1,1,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Tricharina",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Ophiostomatales,f__Ophiostomataceae,g__Sporothrix",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pterulaceae,g__Radulomyces",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Sphaerostilbella",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,__,__,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,__",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Lecythophora",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia",1,1,1,1
